,words,counts
0,>,78189
1,0,65413
2,),35986
3,<br,33642
4,alert(,29569
5,<script>,25982
6,</script>,24904
7,by,6316
8,<h0>,5795
9,xss,5616
10,</h0>,5459
11,http://u,5214
12,document.cookie,5059
13,src=,4493
14,</marquee>,3853
15,<marquee>,3820
16,script,3006
17,id=,2695
18,<script,2689
19,q=,2684
20,string.fromcharcode(,2216
21,</title>,2111
22,search,1926
23,<iframe,1785
24,search=,1595
25,x=,1386
26,y=,1333
27,query=,1332
28,page=,1328
29,s,1255
30,xylitol,1243
31,e,1207
32,xssed,1203
33,s=,1070
34,<img,1008
35,t,1002
36,url=,920
37,'xss',899
38,action=,895
39,submit=,857
40,a,845
41,hacked,839
42,type=,800
43,here,792
44,was,772
45,keyword=,771
46,<br>,770
47,lang=,756
48,alert,749
49,"""xss""",739
50,0e,718
51,ipt,684
52,pt,669
53,cript,657
54,ript,653
55,all,624
56,c,617
57,"""maxwel""",587
58,keywords=,585
59,javascript,584
60,</iframe>,565
61,p=,552
62,scr,539
63,sc,537
64,a=,520
65,.source,515
66,scrip,515
67,scri,498
68,0c,482
69,name=,472
70,turkpower,460
71,msg=,455
72,narcoticxs,452
73,true,450
74,en,440
75,onload=,440
76,mode=,436
77,cat=,428
78,t=,418
79,on,416
80,"""0""",413
81,d,400
82,x,387
83,norehem,386
84,<body,381
85,cid=,374
86,onerror=,354
87,http,352
88,h0,351
89,go,348
90,<font,341
91,title=,341
92,st,338
93,c=,337
94,the,335
95,category=,335
96,option=,335
97,d=,329
98,b=,329
99,email=,322
100,r,319
101,site=,317
102,sort=,315
103,defaced,297
104,encore,297
105,marquee,295
106,and,294
107,'xssed',290
108,xss.js,288
109,n,281
110,i,276
111,</style>,276
112,cyber,276
113,</a>,271
114,width=,268
115,height=,266
116,y,264
117,onmouseover=,263
118,<center>,262
119,al,258
120,m,257
121,submit.y,251
122,'trex',251
123,size=,249
124,a(,249
125,</font>,249
126,searchstring=,249
127,<marquee,247
128,aler,247
129,eval,246
130,l=,244
131,b(,244
132,n=,243
133,h,240
134,String.fromCharCode(,238
135,submit.x,237
136,language=,236
137,ale,235
138,lert(,234
139,b,233
140,searchtext=,232
141,com_content,229
142,sid=,227
143,p,227
144,t(,226
145,task=,222
146,</center>,221
147,submit_vote=,220
148,user_rating=,219
149,style=,218
150,de,216
151,itemid=,215
152,center,215
153,rt(,213
154,ert(,212
155,f,212
156,turkey,207
157,prod,207
158,kusomiso.com,205
159,l,205
160,searchtype=,204
161,<p,204
162,r=,202
163,ie=,202
164,fr,201
165,start=,199
166,from,196
167,ref=,195
168,submit,195
169,'cyber',188
170,false,187
171,yes,187
172,<a,187
173,utf,185
174,<scrip,184
175,title,184
176,domain=,184
177,www.r0t.n0t.nl,182
178,mystick,182
179,pid=,182
180,scripts,180
181,cmd=,178
182,0px,176
183,</textarea>,175
184,key=,175
185,m=,173
186,viper.at,172
187,file=,171
188,forever,170
189,null,169
190,catid=,169
191,client=,169
192,<h0,168
193,href=,165
194,words=,165
195,year=,164
196,lid=,163
197,tid=,163
198,go=,162
199,e=,161
200,gaz0r,160
201,cof=,160
202,backdoor,159
203,<scri,158
204,found,158
205,text,157
206,iso,156
207,.,154
208,0email,154
209,0.0,153
210,forid,152
211,color=,152
212,tag=,151
213,news,151
214,atm0n0r,151
215,content,150
216,k=,148
217,site,148
218,align=,147
219,<scr,146
220,is,146
221,message=,146
222,us,146
223,<s,145
224,0=,145
225,username=,145
226,g,145
227,sa=,144
228,pop=,143
229,w=,142
230,u=,141
231,f=,141
232,view=,139
233,term=,138
234,country=,138
235,vote,138
236,zeryus,137
237,b0y,136
238,ok,136
239,ealert(,136
240,to,135
241,section=,135
242,oe=,135
243,rubberduck,135
244,<sc,134
245,ironzorg,134
246,k,133
247,</SCRIPT>,133
248,xssed.com,133
249,test,133
250,path=,132
251,code,132
252,city=,131
253,'xss_alert',131
254,com,131
255,for,131
256,html,130
257,st=,130
258,source=,129
259,error=,128
260,0ealert(,128
261,bgcolor=,128
262,k.png,128
263,date,127
264,"""backdoor""",127
265,whitehat,126
266,no,126
267,src,126
268,output=,126
269,qt=,125
270,content=,125
271,login,125
272,text=,124
273,o=,124
274,xs,124
275,folder=,123
276,cx,123
277,rext,122
278,any,122
279,you,122
280,services,121
281,op=,120
282,web,120
283,filter=,119
284,sh0ck,119
285,fuseaction=,119
286,method=,118
287,"""iblaze""",118
288,address.tst,117
289,document.domain,117
290,"""red""",117
291,hello,117
292,0fscript,117
293,do=,116
294,xml_no_dtd,116
295,cx=,115
296,m0=,114
297,or,114
298,in,113
299,</marque>,113
